EmisiónoaceptacióndefacturasdecréditofalsasArt298bis;Emisión o aceptación de facturas de crédito falsas - Art.298 bis
EjercicioilegaldelamedicinaporpréstamodenombreArt208Inc3º;Ejercicio ilegal de la medicina por préstamo de nombre - Art.208 Inc.3º
EncubrimientoArt277Inc1º;Encubrimiento - Art.277 Inc.1º
EncubrimientoagravadoporánimodelucroArt277Inc3º;Encubrimiento agravado por ánimo de lucro - Art.277 Inc.3º
EncubrimientoagravadopordelitograveArt277Inc3º;Encubrimiento agravado por delito grave - Art.277 Inc.3º
EncubrimientoagravadoporserfuncionariopúblicoArt277Inc3º;Encubrimiento agravado por ser funcionario público - Art.277 Inc.3º
EntorpecimientodetransporteoserviciopúblicoArt194;Entorpecimiento de transporte o servicio público - Art.194
EntregaindebidadearmadefuegoArt189bisInc4º;Entrega indebida de arma de fuego - Art.189 bis Inc.4º
EstafaArt172;Estafa - Art.172
EstafadeseguroypréstamoalagruesaArt174Inc1º;Estafa de seguro y préstamo a la gruesa - Art.174 Inc.1º
EstelionatoArt173Inc9º;Estelionato - Art.173 Inc.9º
EstragoArt187;Estrago - Art.187
EstupefacientesAplicarofacilitarestupefacientes(art5°inccLey23737);Estupefacientes - Aplicar o facilitar estupefacientes (art. 5° inc. c - Ley 23.737)
EstupefacientesComercializaciónpropiamentedicha(art5inccLey23737);Estupefacientes - Comercialización propiamente dicha (art. 5 inc. c - Ley 23.737)
EstupefacientesDistribuír,darenpago,almacenarotransportarestupefaciente(art5°inccLey23737);Estupefacientes - Distribuír, dar en pago, almacenar o transportar estupefaciente (art. 5° inc. c - Ley 23.737)
EstupefacientesEntregaosuministroatítulogratuito(art5inceLey23737);Estupefacientes - Entrega o suministro a título gratuito (art. 5 inc. e - Ley 23.737)
EstupefacientesEntregaosuministroatítulooneroso(art5inceLey23737);Estupefacientes - Entrega o suministro a título oneroso (art. 5 inc. e - Ley 23.737)
EstupefacientesInfracciónart204;Estupefacientes - Infracción art. 204
EstupefacientesInfracciónart204bis;Estupefacientes - Infracción art. 204 bis
EstupefacientesInfracciónart204terdelaLey23737;Estupefacientes - Infracción art. 204 ter de la Ley 23.737
EstupefacientesInfracciónart204cuater;Estupefacientes - Infracción art. 204 cuater
EstupefacientesInfracciónart5°penúltimopárrafodelaley23737;Estupefacientes - Infracción art. 5° penúltimo párrafo de la ley 23.737
EstupefacientesInfracciónart5°últimopárrafodelaley23737;Estupefacientes - Infracción art. 5° último párrafo de la ley 23.737
Estupefacientessiembraocultivooguardadesemillasparalaproduccióndesustanciasestupefacientes(art5incaley23737);Estupefacientes - siembra o cultivo o guarda de semillas para la producción de sustancias estupefacientes (art. 5 inc. a ley 23737)
EstupefacientesTenenciaconfinesdecomercialización(art5inccLey23737);Estupefacientes - Tenencia con fines de comercialización (art. 5 inc. c - Ley 23.737)
